
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        108 K
Secure System                  284 Services                   0    372,992 K
Registry                       328 Services                   0     69,880 K
smss.exe                       904 Services                   0        756 K
csrss.exe                     1540 Services                   0      4,432 K
wininit.exe                   1648 Services                   0      4,608 K
csrss.exe                     1656 Console                    1      7,480 K
winlogon.exe                  1748 Console                    1     14,188 K
services.exe                  1756 Services                   0     12,024 K
LsaIso.exe                    1800 Services                   0      2,980 K
lsass.exe                     1828 Services                   0     33,040 K
svchost.exe                   1956 Services                   0     44,692 K
fontdrvhost.exe               2004 Services                   0      7,940 K
fontdrvhost.exe               2012 Console                    1     21,148 K
svchost.exe                   1492 Services                   0     20,520 K
svchost.exe                   2056 Services                   0     10,668 K
dwm.exe                       2164 Console                    1    194,432 K
svchost.exe                   2184 Services                   0     27,256 K
svchost.exe                   2200 Services                   0      2,024 K
svchost.exe                   2420 Services                   0      7,544 K
svchost.exe                   2456 Services                   0      4,516 K
svchost.exe                   2460 Services                   0      5,928 K
svchost.exe                   2472 Services                   0     10,340 K
svchost.exe                   2480 Services                   0      9,148 K
IntelCpHDCPSvc.exe            2596 Services                   0      2,892 K
svchost.exe                   2620 Services                   0      3,852 K
svchost.exe                   2636 Services                   0     12,108 K
svchost.exe                   2644 Services                   0     12,948 K
svchost.exe                   2736 Services                   0     23,504 K
svchost.exe                   2744 Services                   0      6,500 K
svchost.exe                   2848 Services                   0      8,596 K
svchost.exe                   3028 Services                   0      3,692 K
svchost.exe                   3040 Services                   0     13,920 K
svchost.exe                   3120 Services                   0     44,008 K
svchost.exe                   3180 Services                   0     29,272 K
svchost.exe                   3260 Services                   0      8,244 K
vmms.exe                      3452 Services                   0     25,184 K
svchost.exe                   3688 Services                   0      7,076 K
svchost.exe                   3720 Services                   0      9,212 K
svchost.exe                   3788 Services                   0      9,912 K
svchost.exe                   3836 Services                   0      5,876 K
svchost.exe                   3920 Services                   0      8,064 K
svchost.exe                   3928 Services                   0     10,240 K
svchost.exe                   4000 Services                   0      4,712 K
NVDisplay.Container.exe       4184 Services                   0     45,652 K
svchost.exe                   4260 Services                   0     15,316 K
svchost.exe                   4320 Services                   0     21,952 K
svchost.exe                   4332 Services                   0      6,756 K
svchost.exe                   4392 Services                   0      4,136 K
svchost.exe                   4452 Services                   0      8,028 K
svchost.exe                   4492 Services                   0     19,592 K
svchost.exe                   4500 Services                   0      9,832 K
svchost.exe                   4600 Services                   0     18,412 K
svchost.exe                   4716 Services                   0     16,184 K
svchost.exe                   4768 Services                   0      5,772 K
svchost.exe                   4852 Services                   0      8,948 K
svchost.exe                   4864 Services                   0      6,160 K
svchost.exe                   5028 Services                   0     33,612 K
svchost.exe                   5092 Services                   0     11,388 K
svchost.exe                   5144 Services                   0      9,012 K
spoolsv.exe                   5208 Services                   0     20,696 K
svchost.exe                   5432 Services                   0    101,272 K
AdAppMgrSvc.exe               5448 Services                   0     23,164 K
AgentService.exe              5444 Services                   0    404,368 K
svchost.exe                   5460 Services                   0      7,516 K
AdskLicensingService.exe      5476 Services                   0      8,880 K
OneApp.IGCC.WinService.ex     5504 Services                   0     21,464 K
EasyTuneEngineService.exe     5516 Services                   0     24,356 K
JetBrains.Etw.Collector.H     5528 Services                   0      3,156 K
plasticchangetrackerservi     5544 Services                   0     12,524 K
svchost.exe                   5552 Services                   0      4,500 K
GigabyteUpdateService.exe     5560 Services                   0      6,528 K
MANC.exe                      5568 Services                   0      5,868 K
FNPLicensingService.exe       5576 Services                   0     10,172 K
QcomWlanSrvx64.exe            5592 Services                   0      6,224 K
nvcontainer.exe               5600 Services                   0     36,200 K
sqlwriter.exe                 5616 Services                   0      6,056 K
svchost.exe                   5640 Services                   0      7,996 K
svchost.exe                   5652 Services                   0      4,936 K
svchost.exe                   5664 Services                   0     26,060 K
XtuService.exe                5672 Services                   0     65,216 K
MiService.exe                 5684 Services                   0     42,676 K
RtkAudUService64.exe          5712 Services                   0     14,992 K
OfficeClickToRun.exe          5720 Services                   0     35,972 K
